GeneSymbol;logFC;AveExpr;t;P.Value;adj.P.Val;B;ProbeID
IGSF11;-0.350858281;3.688759486;-3.930930723;0.000165316;0.001246738;0.44500394;8089729
IGSF21;0.029445651;4.190096596;0.70500304;0.482618073;0.62571578;-6.388999702;7898521
IGSF22;0.069002044;3.366198041;1.930294766;0.056700205;0.13131626;-4.821279495;7947052
IGSF3;0.248785558;3.945043669;2.97543187;0.00375119;0.015479289;-2.440931205;7918913
IGSF5;-0.264173043;3.720540094;-2.465189372;0.015579894;0.04774185;-3.713787091;8068644
IGSF6;0.202614922;5.817134149;1.698200182;0.092904388;0.19089372;-5.224826431;8000184
IGSF8;0.032046357;4.62391244;0.764271422;0.446692784;0.593718876;-6.345983222;7921538
IGSF9;0.215047151;4.391957917;3.890186074;0.000190956;0.001395271;0.30990271;7921492
IGSF9B;0.162036023;3.845537362;2.985480744;0.003640919;0.015141125;-2.413866617;7952813
IHH;0.174058243;3.244534655;2.696657446;0.008351958;0.029222609;-3.161445139;8059067
IHO1;0.050898098;2.74765603;0.832247342;0.407459152;0.557379562;-6.292432667;8079719
IK;0.19406563;6.790684716;3.745440732;0.000316314;0.002110394;-0.161901655;8108568
IKBIP;0.212928565;3.532541984;2.937401294;0.004197046;0.016979334;-2.542681087;7965681
IKBKB;0.287455115;6.234606681;3.930836839;0.000165371;0.001246828;0.444691503;8146171
IKBKE;0.202786072;4.570613881;3.960062513;0.000149039;0.001149817;0.542205318;7909188
IKBKE-AS1;0.035408114;3.162888704;0.96126977;0.33897676;0.490842158;-6.178464599;7923885
IKBKG;0.012364281;3.129561706;0.272594994;0.7857853;0.863460559;-6.598411679;8170955
